idx,data structure,Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements,Operations Completed, Time[Seconds]
312,LinkedList,10,99,8192,10000000,4397931,4 seconds
313,LinkedList,10,90,8,10,923134211,4 seconds
314,LinkedList,10,90,8,1000,910404189,4 seconds
315,LinkedList,10,90,8,100000,900230005,4 seconds
316,LinkedList,10,90,8,10000000,902806309,4 seconds
317,LinkedList,10,90,512,10,920300178,4 seconds
318,LinkedList,10,90,512,1000,77862331,4 seconds
319,LinkedList,10,90,512,100000,78064691,4 seconds
320,LinkedList,10,90,512,10000000,77974801,4 seconds
321,LinkedList,10,90,8192,10,923757491,4 seconds
322,LinkedList,10,90,8192,1000,37732761,4 seconds
323,LinkedList,10,90,8192,100000,4419521,4 seconds
324,LinkedList,10,90,8192,10000000,4323471,4 seconds
325,LinkedList,10,50,8,10,923673499,4 seconds
326,LinkedList,10,50,8,1000,880874205,4 seconds
327,LinkedList,10,50,8,100000,854619411,4 seconds
328,LinkedList,10,50,8,10000000,840963800,4 seconds
329,LinkedList,10,50,512,10,923450444,4 seconds
330,LinkedList,10,50,512,1000,75119291,4 seconds
331,LinkedList,10,50,512,100000,70969421,4 seconds
332,LinkedList,10,50,512,10000000,71110951,4 seconds
333,LinkedList,10,50,8192,10,924668967,4 seconds
334,LinkedList,10,50,8192,1000,35531751,4 seconds
335,LinkedList,10,50,8192,100000,4113251,4 seconds
336,LinkedList,10,50,8192,10000000,4070801,4 seconds
337,LinkedList,50,100,8,10,925569039,4 seconds
338,LinkedList,50,100,8,1000,948795285,4 seconds
339,LinkedList,50,100,8,100000,939775901,4 seconds
340,LinkedList,50,100,8,10000000,938732228,4 seconds
341,LinkedList,50,100,512,10,921895028,4 seconds
342,LinkedList,50,100,512,1000,246485401,4 seconds
343,LinkedList,50,100,512,100000,239647901,4 seconds
344,LinkedList,50,100,512,10000000,239546701,4 seconds
345,LinkedList,50,100,8192,10,929556120,4 seconds
346,LinkedList,50,100,8192,1000,133598389,4 seconds
347,LinkedList,50,100,8192,100000,16337251,4 seconds
348,LinkedList,50,100,8192,10000000,15869401,4 seconds
349,LinkedList,50,99,8,10,924059683,4 seconds
350,LinkedList,50,99,8,1000,950860858,4 seconds
351,LinkedList,50,99,8,100000,913392275,4 seconds
352,LinkedList,50,99,8,10000000,910113607,4 seconds
353,LinkedList,50,99,512,10,925566798,4 seconds
354,LinkedList,50,99,512,1000,235777751,4 seconds
355,LinkedList,50,99,512,100000,227720692,4 seconds
356,LinkedList,50,99,512,10000000,235219801,4 seconds
357,LinkedList,50,99,8192,10,925836663,4 seconds
358,LinkedList,50,99,8192,1000,125807527,4 seconds
359,LinkedList,50,99,8192,100000,16328501,4 seconds
360,LinkedList,50,99,8192,10000000,15756401,4 seconds
361,LinkedList,50,90,8,10,927146776,4 seconds
362,LinkedList,50,90,8,1000,935749502,4 seconds
363,LinkedList,50,90,8,100000,923623375,4 seconds
364,LinkedList,50,90,8,10000000,912193234,4 seconds
365,LinkedList,50,90,512,10,925914980,4 seconds
366,LinkedList,50,90,512,1000,236190631,4 seconds
367,LinkedList,50,90,512,100000,231589051,4 seconds
368,LinkedList,50,90,512,10000000,230333651,4 seconds
369,LinkedList,50,90,8192,10,928437358,4 seconds
370,LinkedList,50,90,8192,1000,125392991,4 seconds
371,LinkedList,50,90,8192,100000,15646531,4 seconds
372,LinkedList,50,90,8192,10000000,15521001,4 seconds
373,LinkedList,50,50,8,10,928328423,4 seconds
374,LinkedList,50,50,8,1000,949519280,4 seconds
375,LinkedList,50,50,8,100000,943608666,4 seconds
376,LinkedList,50,50,8,10000000,938149715,4 seconds
377,LinkedList,50,50,512,10,927079600,4 seconds
378,LinkedList,50,50,512,1000,193710501,4 seconds
379,LinkedList,50,50,512,100000,193606401,4 seconds
380,LinkedList,50,50,512,10000000,185718801,4 seconds
381,LinkedList,50,50,8192,10,923145351,4 seconds
382,LinkedList,50,50,8192,1000,105308161,4 seconds
383,LinkedList,50,50,8192,100000,12254651,4 seconds
384,LinkedList,50,50,8192,10000000,11997651,4 seconds
