idx, data structure, Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements,Operations Completed, Time[Seconds]
334,LinkedList,10,50,8192,1000,20928951,4 seconds
335,LinkedList,10,50,8192,100000,1143811,4 seconds
336,LinkedList,10,50,8192,10000000,1118011,4 seconds
337,LinkedList,50,100,8,10,168796397,4 seconds
338,LinkedList,50,100,8,1000,194541777,4 seconds
339,LinkedList,50,100,8,100000,193254722,4 seconds
340,LinkedList,50,100,8,10000000,198353998,4 seconds
341,LinkedList,50,100,512,10,167415715,4 seconds
342,LinkedList,50,100,512,1000,98521483,4 seconds
343,LinkedList,50,100,512,100000,97922701,4 seconds
344,LinkedList,50,100,512,10000000,98476125,4 seconds
345,LinkedList,50,100,8192,10,164974910,4 seconds
346,LinkedList,50,100,8192,1000,65673851,4 seconds
347,LinkedList,50,100,8192,100000,3913101,4 seconds
348,LinkedList,50,100,8192,10000000,4300101,4 seconds
349,LinkedList,50,99,8,10,169028996,4 seconds
350,LinkedList,50,99,8,1000,190472739,4 seconds
351,LinkedList,50,99,8,100000,191382380,4 seconds
352,LinkedList,50,99,8,10000000,198547419,4 seconds
353,LinkedList,50,99,512,10,168813551,4 seconds
354,LinkedList,50,99,512,1000,96164601,4 seconds
355,LinkedList,50,99,512,100000,95619251,4 seconds
356,LinkedList,50,99,512,10000000,98347930,4 seconds
357,LinkedList,50,99,8192,10,168481932,4 seconds
358,LinkedList,50,99,8192,1000,64817535,4 seconds
359,LinkedList,50,99,8192,100000,4562651,4 seconds
360,LinkedList,50,99,8192,10000000,3447701,4 seconds
361,LinkedList,50,90,8,10,167998171,4 seconds
362,LinkedList,50,90,8,1000,189891375,4 seconds
363,LinkedList,50,90,8,100000,190196079,4 seconds
364,LinkedList,50,90,8,10000000,197620213,4 seconds
365,LinkedList,50,90,512,10,169153802,4 seconds
366,LinkedList,50,90,512,1000,96939361,4 seconds
367,LinkedList,50,90,512,100000,95077735,4 seconds
368,LinkedList,50,90,512,10000000,96736771,4 seconds
369,LinkedList,50,90,8192,10,169221085,4 seconds
370,LinkedList,50,90,8192,1000,63250271,4 seconds
371,LinkedList,50,90,8192,100000,3691139,4 seconds
372,LinkedList,50,90,8192,10000000,4234851,4 seconds
373,LinkedList,50,50,8,10,168982611,4 seconds
374,LinkedList,50,50,8,1000,192439720,4 seconds
375,LinkedList,50,50,8,100000,190741220,4 seconds
376,LinkedList,50,50,8,10000000,199294956,4 seconds
377,LinkedList,50,50,512,10,168773628,4 seconds
378,LinkedList,50,50,512,1000,86468958,4 seconds
379,LinkedList,50,50,512,100000,83562651,4 seconds
380,LinkedList,50,50,512,10000000,83794901,4 seconds
381,LinkedList,50,50,8192,10,167359203,4 seconds
382,LinkedList,50,50,8192,1000,54685351,4 seconds
383,LinkedList,50,50,8192,100000,3630901,4 seconds
384,LinkedList,50,50,8192,10000000,3219201,4 seconds
