# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'L1-dcache-load-misses:u'
# Event count (approx.): 729337502
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
# Overhead  Command   Shared Object     Symbol                
# ........  ........  ................  ......................
#
    86.65%  npb_bt_a  npb_bt_a          [.] compute_rhs
     5.38%  npb_bt_a  npb_bt_a          [.] x_solve
     4.51%  npb_bt_a  npb_bt_a          [.] add
     1.45%  npb_bt_a  npb_bt_a          [.] matmul_sub
     1.08%  npb_bt_a  npb_bt_a          [.] binvcrhs
     0.43%  npb_bt_a  npb_bt_a          [.] matvec_sub
     0.18%  npb_bt_a  npb_bt_a          [.] y_solve
     0.09%  npb_bt_a  npb_bt_a          [.] exact_solution
     0.07%  npb_bt_a  npb_bt_a          [.] lhsinit
     0.07%  npb_bt_a  npb_bt_a          [.] z_solve
     0.06%  npb_bt_a  npb_bt_a          [.] binvrhs
     0.03%  npb_bt_a  npb_bt_a          [.] exact_rhs
     0.00%  npb_bt_a  [unknown]         [k] 0xffffffffb8e01150
     0.00%  npb_bt_a  npb_bt_a          [.] error_norm


# Samples: 276  of event 'LLC-store-misses:u'
# Event count (approx.): 1668589
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
   100.00%  npb_bt_a  npb_bt_a       [.] compute_rhs
     0.00%  npb_bt_a  npb_bt_a       [.] exact_solution


# Samples: 6K of event 'LLC-stores:u'
# Event count (approx.): 30595190
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    73.28%  npb_bt_a  npb_bt_a       [.] compute_rhs
     8.13%  npb_bt_a  npb_bt_a       [.] add
     4.82%  npb_bt_a  npb_bt_a       [.] z_solve
     4.36%  npb_bt_a  npb_bt_a       [.] matmul_sub
     4.00%  npb_bt_a  npb_bt_a       [.] y_solve
     2.74%  npb_bt_a  npb_bt_a       [.] x_solve
     1.12%  npb_bt_a  npb_bt_a       [.] matvec_sub
     1.01%  npb_bt_a  npb_bt_a       [.] binvcrhs
     0.24%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.14%  npb_bt_a  npb_bt_a       [.] binvrhs
     0.09%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.07%  npb_bt_a  npb_bt_a       [.] exact_solution
     0.00%  npb_bt_a  npb_bt_a       [.] initialize


# Samples: 31K of event 'branch-load-misses:u'
# Event count (approx.): 194179960
#
# Overhead  Command   Shared Object     Symbol                
# ........  ........  ................  ......................
#
    23.94%  npb_bt_a  npb_bt_a          [.] binvcrhs
    17.80%  npb_bt_a  npb_bt_a          [.] compute_rhs
    15.94%  npb_bt_a  npb_bt_a          [.] matmul_sub
    15.61%  npb_bt_a  npb_bt_a          [.] matvec_sub
     8.29%  npb_bt_a  npb_bt_a          [.] z_solve
     8.06%  npb_bt_a  npb_bt_a          [.] y_solve
     7.89%  npb_bt_a  npb_bt_a          [.] x_solve
     1.45%  npb_bt_a  npb_bt_a          [.] add
     0.60%  npb_bt_a  npb_bt_a          [.] exact_solution
